epoch:=333 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=334 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=335 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=336 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=337 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=338 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=339 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=340 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=341 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=342 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=343 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=344 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=345 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=346 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=347 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=348 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=349 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=350 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=351 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=352 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=353 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=354 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=355 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=356 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=357 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=358 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=359 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=360 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=361 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=362 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=363 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=364 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=365 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=366 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=367 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=368 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=369 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=370 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=371 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=372 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=373 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=374 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=375 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=376 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=377 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=378 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=379 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=380 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=381 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=382 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=383 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=384 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=385 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=386 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=387 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=388 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=389 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=390 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=391 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=392 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=393 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=394 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=395 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=396 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=397 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=398 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=399 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=400 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=401 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=402 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=403 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=404 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=405 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=406 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=407 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=408 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=409 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=410 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=411 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=412 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=413 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=414 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=415 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=416 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=417 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=418 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=419 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=420 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=421 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=422 ,train_acc:=0.000000 ,test_acc:=0.000000
epoch:=423 ,train_acc:=0.000000 ,test_acc:=0.000000
